ltable_id,rtable_id
274,151
274,6778
274,9181
274,13193
274,15140
274,15847
274,16863
274,17445
274,20090
1372,3891
1372,7194
1372,11174
1372,15140
1372,15847
1372,18094
1372,19331
1544,313
1544,1221
1544,1222
1544,1937
1544,3200
1544,3204
1544,3205
1544,3890
1544,3891
1544,3894
1544,5154
1544,7194
1544,7934
1544,7935
1544,9178
1544,9179
1544,9180
1544,10435
1544,11172
1544,11173
1544,13191
1544,14746
1544,15139
1544,15140
1544,16863
1544,17139
1544,17444
1544,17445
1544,17447
1544,17448
1544,17777
1544,18094
1544,19330
1544,20090
1544,20091
1554,68
1554,7194
1554,15140
1554,15847
1554,18094
1554,19331
1591,15140
1591,18094
1660,3891
1660,7194
1660,13859
1660,15140
1660,15847
1660,18094
1660,19331
2078,151
2078,5890
2078,9181
2078,13853
2078,15140
2078,15847
2078,16863
2078,17445
2078,20090
1851,19091
1875,19091
307,4172
307,6007
307,8449
307,12832
307,14654
307,19204
307,20721
307,21436
1572,4172
1572,4640
1572,6007
1572,8449
1572,12668
1572,12832
1572,19204
1572,20104
1572,20721
1572,21436
38,1355
38,3727
38,6555
38,7745
38,8178
38,9771
38,10191
38,12340
38,13702
38,14127
38,18341
38,18894
38,19457
38,19724
38,20548
721,3726
721,7745
721,13702
721,14127
721,15683
721,18341
1086,84
1086,1355
1086,3726
1086,3727
1086,4163
1086,4569
1086,6555
1086,7745
1086,7746
1086,8178
1086,9771
1086,10189
1086,10191
1086,11743
1086,12340
1086,13702
1086,14026
1086,14127
1086,15683
1086,15684
1086,15685
1086,17829
1086,18341
1086,18894
1086,19085
1086,19724
1086,20245
1086,20548
1086,20549
1086,21628
1291,1355
1291,3726
1291,3727
1291,4569
1291,7745
1291,8178
1291,10191
1291,11743
1291,12340
1291,13702
1291,14127
1291,15685
1291,16969
1291,18341
1291,18894
1291,19129
1291,19724
1291,20245
1291,20548
1291,21628
1904,1355
1904,3726
1904,3727
1904,4569
1904,5707
1904,6555
1904,7745
1904,8178
1904,10191
1904,11741
1904,13701
1904,13702
1904,15685
1904,18341
1904,18894
1904,19457
1904,19724
1904,20245
1904,20548
1904,21107
1904,21871
2159,3727
2159,4163
2159,6555
2159,7745
2159,7746
2159,11743
2159,13702
2159,15683
2159,18341
2197,3727
2197,6555
2197,7745
2197,7746
2197,11741
2197,11743
2197,13702
2197,14127
2197,18341
2520,3727
2520,6555
2520,7745
2520,11741
2520,13702
2520,14127
2520,17829
2520,18341
2520,19085
94,31
94,32
94,158
94,1308
94,1309
94,1313
94,1316
94,1317
94,1319
94,1322
94,1323
94,1324
94,1326
94,1328
94,1664
94,1674
94,1691
94,1692
94,1696
94,3301
94,3302
94,3304
94,3306
94,3310
94,3312
94,3313
94,3314
94,4053
94,5243
94,5246
94,5247
94,5248
94,5249
94,5250
94,5253
94,5255
94,5256
94,5257
94,5258
94,5259
94,6029
94,7303
94,7304
94,7305
94,7306
94,7307
94,7309
94,7310
94,7311
94,7312
94,7314
94,9294
94,9295
94,9300
94,9302
94,9304
94,9305
94,9306
94,9307
94,9308
94,10076
94,11275
94,11276
94,11278
94,11279
94,11280
94,11281
94,11282
94,11284
94,13276
94,13278
94,13279
94,13281
94,13282
94,13284
94,13287
94,13289
94,13290
94,13291
94,13292
94,13293
94,14012
94,15262
94,15263
94,15264
94,15265
94,15266
94,15267
94,15268
94,15269
94,15270
94,15272
94,15273
94,15275
94,15276
94,15278
94,15279
94,15283
94,15284
94,15285
94,15288
94,17907
94,17909
94,18975
94,19079
94,19354
94,19355
94,19356
94,19909
94,20493
94,20494
94,20495
94,20773
94,21062
94,21063
94,21187
94,21351
94,21477
94,21478
94,21479
94,21480
94,21481
94,21845
94,21977
329,31
329,32
329,158
329,159
329,1307
329,1309
329,1312
329,1313
329,1315
329,1317
329,1319
329,1320
329,1321
329,1322
329,1323
329,1324
329,1325
329,1326
329,1327
329,1328
329,1664
329,1674
329,1691
329,1692
329,1696
329,3299
329,3301
329,3302
329,3304
329,3305
329,3307
329,3310
329,3311
329,3312
329,3313
329,3314
329,4053
329,5242
329,5247
329,5248
329,5249
329,5250
329,5253
329,5255
329,5256
329,5257
329,5258
329,5259
329,6029
329,6524
329,7299
329,7301
329,7302
329,7303
329,7306
329,7307
329,7309
329,7310
329,7311
329,7312
329,7313
329,9051
329,9292
329,9294
329,9295
329,9296
329,9297
329,9298
329,9300
329,9301
329,9302
329,9304
329,9305
329,9306
329,9308
329,10076
329,11273
329,11275
329,11276
329,11278
329,11279
329,11281
329,11282
329,11284
329,13271
329,13272
329,13275
329,13276
329,13278
329,13279
329,13281
329,13282
329,13283
329,13284
329,13285
329,13286
329,13287
329,13288
329,13289
329,13290
329,13291
329,14012
329,15262
329,15264
329,15265
329,15266
329,15267
329,15268
329,15272
329,15274
329,15277
329,15279
329,15280
329,15281
329,15283
329,15284
329,15288
329,17255
329,17256
329,17907
329,17908
329,17909
329,18780
329,19354
329,19355
329,19356
329,19909
329,20493
329,20494
329,20495
329,20774
329,21061
329,21063
329,21187
329,21351
329,21477
329,21478
329,21479
329,21480
329,21602
329,21845
329,21977
465,1315
465,1324
465,1691
465,5255
465,6521
465,7311
465,9300
465,11279
465,13284
465,14012
465,15263
465,15273
465,18975
465,20774
465,21477
465,21845
547,31
547,32
547,1307
547,1312
547,1320
547,1321
547,1322
547,1323
547,1324
547,1325
547,1326
547,1327
547,1328
547,1674
547,1691
547,1696
547,3304
547,3305
